Entertainment Videos,Educational Videos,Total Videos,ID,Video Lengths in Seconds,Combined Length in Seconds,Average Length in Seconds,Video Lengths in Minutes,Combined Length in Minutes,Average Length in Minutes
12,4,16,1,1360,1360,1360,22.67,22.67,22.67
,,,2,151,1511,755.5,2.52,25.18,12.59
,,,3,1126,2637,879,18.77,43.95,14.65
,,,4,397,3034,758.5,6.62,50.57,12.64
,,,5,784,3818,763.6,13.07,63.63,12.73
,,,6,1257,5075,845.83,20.95,84.58,14.10
,,,7,448,5523,789,7.47,92.05,13.15
,,,8,613,6136,767,10.22,102.27,12.78
,,,9,1376,7512,834.67,22.93,125.2,13.91
,,,10,550,8062,806.2,9.17,134.37,13.44
,,,11,2223,10285,935,37.05,171.42,15.58
,,,12,1047,11332,944.34,17.45,188.87,15.74
,,,13,540,11872,913.23,9,197.87,15.22
,,,14,736,12608,900.51,12.27,210.13,15.01
,,,15,710,13318,887.87,11.83,221.97,14.80
,,,16,1329,14647,915.44,22.15,244.12,15.26
